X,Y,Date,County
-97.447912,32.751778,10/10/14,TARRANT
-97.447912,32.751723,9/3/14,TARRANT
-97.447912,32.751723,9/3/14,TARRANT
-97.447912,32.751723,9/3/14,TARRANT
-97.447589,32.704516,6/24/14,TARRANT
-97.44726,32.879773,2/27/14,TARRANT
-97.44719,32.715044,4/28/14,TARRANT
-97.44719,32.715044,9/19/14,TARRANT
-97.44692,32.703365,5/21/14,TARRANT
-97.44637,32.889425,1/31/14,TARRANT
-97.445673,32.708718,6/27/14,TARRANT
-97.445405,32.70723,7/21/14,TARRANT
-97.445405,32.70723,7/21/14,TARRANT
-97.44432,32.699407,4/1/14,TARRANT
-97.44432,32.699407,4/1/14,TARRANT
-97.444111,32.705288,12/18/14,TARRANT
-97.444104,32.673012,1/17/14,TARRANT
-97.442451,32.70304,5/2/14,TARRANT
-97.442224,32.709808,9/26/14,TARRANT
-97.441702,32.808993,3/3/14,TARRANT
-97.44059,32.716896,3/27/14,TARRANT
-97.44059,32.716896,3/27/14,TARRANT
-97.440041,32.657003,7/11/14,TARRANT
-97.439399,32.7153,5/21/14,TARRANT
-97.437818,32.70027,6/24/14,TARRANT
-97.437818,32.70027,6/24/14,TARRANT
-97.437818,32.70027,6/24/14,TARRANT
-97.435897,32.672032,2/22/14,TARRANT
-97.435897,32.672032,1/17/14,TARRANT
-97.435802,32.866377,7/31/14,TARRANT
-97.434848,32.699943,10/1/14,TARRANT
-97.434848,32.699943,10/1/14,TARRANT
-97.434659,32.72626,5/9/14,TARRANT
-97.434492,32.865873,5/14/14,TARRANT
-97.434492,32.865873,9/16/14,TARRANT
-97.434492,32.865873,9/16/14,TARRANT
-97.434492,32.865873,12/23/14,TARRANT
-97.433294,32.728761,1/31/14,TARRANT
-97.433294,32.728761,5/15/14,TARRANT
-97.433294,32.728761,5/15/14,TARRANT
-97.433294,32.728761,5/15/14,TARRANT
-97.433257,32.731524,6/23/14,TARRANT
-97.433257,32.731524,6/23/14,TARRANT
-97.432622,32.724063,10/23/14,TARRANT
-97.432622,32.724063,10/23/14,TARRANT
-97.432211,32.734174,8/26/14,TARRANT
-97.432211,32.734174,8/26/14,TARRANT
-97.431894,32.730741,2/14/14,TARRANT
-97.431894,32.730741,2/14/14,TARRANT
-97.431809,32.732611,2/7/14,TARRANT
-97.431809,32.732611,2/7/14,TARRANT
-97.431329,32.82122,6/20/14,TARRANT
